[ 2026-09-12 03:07:23,604 ] 18 root - INFO - Initiate the data ingestion
[ 2026-09-12 03:07:31,948 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-09-12 03:07:31,948 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-09-12 03:07:31,948 ] 75 root - INFO - Exporting train and test file path.
[ 2026-09-12 03:07:32,316 ] 84 root - INFO - Exported train and test file path.
[ 2026-09-12 03:07:32,316 ] 20 root - INFO - Data Initiation Completed
[ 2026-09-12 03:07:32,323 ] 24 root - INFO - Initiate the data Validation
[ 2026-09-12 03:07:32,445 ] 31 root - INFO - Req. number of columns:2
[ 2026-09-12 03:07:32,445 ] 32 root - INFO - Data frame has columns:31
[ 2026-09-12 03:07:32,445 ] 31 root - INFO - Req. number of columns:2
[ 2026-09-12 03:07:32,445 ] 32 root - INFO - Data frame has columns:31
[ 2026-09-12 03:07:32,943 ] 26 root - INFO - data Validation Completed
[ 2026-09-12 03:07:32,943 ] 28 root - INFO - Data Transformation started
[ 2026-09-12 03:07:32,943 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-09-12 03:07:32,943 ] 65 root - INFO - Starting data transformation
[ 2026-09-12 03:07:33,062 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-09-12 03:07:33,062 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-09-12 03:07:33,102 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-09-12 03:07:33,106 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-09-12 03:07:33,106 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-09-12 03:07:33,111 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-09-12 03:07:33,112 ] 33 root - INFO - Data Transformation Completed
[ 2026-09-12 03:07:33,112 ] 34 root - INFO - Model Training sstared
[ 2026-09-12 03:17:46,325 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-09-12 03:17:46,325 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-09-12 03:17:46,325 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-09-12 03:17:46,326 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-09-12 03:17:46,326 ] 151 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts/09_12_2026_03_07_20/model_trainer/trained_model/model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9909885493597127, precision_score=0.9898484028153763, recall_score=0.9921313254646588), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9898286937901499, precision_score=0.9879775581084691, recall_score=0.9916867792973988))
[ 2026-09-12 03:17:46,326 ] 39 root - INFO - Model Training artifact created
